Node Type,Relation Name,Plan Rows,Actual Rows,Join Index,Query Name,Startup Cost,Total Cost,Actual Startup Time,Actual Total Time,outer_rel,inner_rel,outer_est,inner_est,outer_act,inner_act
Hash,,1,1,,./JOB-queries/33a.sql,2.41,2.41,0.009,0.009,info_type,,1.0,,1.0,
Hash Join,,134,2064,3.0,./JOB-queries/33a.sql,871.59,3084.98,7.915,27.676,,,15117.0,1.0,6192.0,1.0
Nested Loop,,134,2064,4.0,./JOB-queries/33a.sql,871.73,3100.44,7.924,27.804,info_type,,1.0,134.0,1.0,2064.0
Index Scan,title,1,0,,./JOB-queries/33a.sql,0.43,4.48,0.164,0.164,,,,,,
Nested Loop,,24,210,5.0,./JOB-queries/33a.sql,872.16,3700.29,9.325,366.078,,title,134.0,1.0,2064.0,0.0
Seq Scan,kind_type,1,1,,./JOB-queries/33a.sql,0.0,1.09,0.003,0.003,,,,,,
Seq Scan,kind_type,1,1,,./JOB-queries/33a.sql,0.0,1.09,0.001,0.001,,,,,,
Nested Loop,,1,1,6.0,./JOB-queries/33a.sql,0.0,2.18,0.004,0.005,kind_type,kind_type,1.0,1.0,1.0,1.0
Materialize,,1,1,,./JOB-queries/33a.sql,0.0,2.19,0.0,0.0,,,1.0,,1.0,
Nested Loop,,3,71,7.0,./JOB-queries/33a.sql,872.16,3702.83,15.041,366.135,,,24.0,1.0,210.0,1.0
Index Scan,movie_companies,5,4,,./JOB-queries/33a.sql,0.43,0.73,0.455,0.537,,,,,,
Nested Loop,,3,297,8.0,./JOB-queries/33a.sql,872.59,3705.18,15.219,404.311,,movie_companies,3.0,5.0,71.0,4.0
Index Scan,movie_companies,5,6,,./JOB-queries/33a.sql,0.43,0.59,0.021,0.033,,,,,,
Nested Loop,,15,1812,9.0,./JOB-queries/33a.sql,873.02,3707.13,15.301,414.35,,movie_companies,3.0,5.0,297.0,6.0
Index Scan,company_name,1,0,,./JOB-queries/33a.sql,0.42,0.45,0.019,0.019,,,,,,
Nested Loop,,5,465,10.0,./JOB-queries/33a.sql,873.44,3713.82,16.118,448.434,,company_name,15.0,1.0,1812.0,0.0
Index Scan,title,1,1,,./JOB-queries/33a.sql,0.43,0.52,0.007,0.007,,,,,,
Nested Loop,,1,465,11.0,./JOB-queries/33a.sql,873.87,3716.48,16.122,451.678,,title,5.0,1.0,465.0,1.0
Index Scan,company_name,1,1,,./JOB-queries/33a.sql,0.42,0.44,0.029,0.029,,,,,,
Nested Loop,,1,465,12.0,./JOB-queries/33a.sql,874.29,3716.92,16.233,465.371,,company_name,1.0,1.0,465.0,1.0
Index Scan,movie_info_idx,1,2,,./JOB-queries/33a.sql,0.43,0.5,0.013,0.013,,,,,,
Nested Loop,,1,8,13.0,./JOB-queries/33a.sql,874.72,3717.44,94.091,471.665,,movie_info_idx,1.0,1.0,465.0,2.0
Aggregate,,1,1,,./JOB-queries/33a.sql,3717.45,3717.46,471.678,471.683,,,1.0,,8.0,
Seq Scan,keyword,13,30,,./JOB-queries/3b.sql,0.0,2626.12,0.455,11.157,,,,,,
Bitmap Index Scan,,303,432,,./JOB-queries/3b.sql,0.0,6.71,0.385,0.385,,,,,,
Bitmap Heap Scan,movie_keyword,303,432,,./JOB-queries/3b.sql,6.78,1044.2,0.475,30.909,,,303.0,,432.0,
Nested Loop,,438,12951,1.0,./JOB-queries/3b.sql,6.78,16240.14,3.772,939.513,keyword,movie_keyword,13.0,303.0,30.0,432.0
Index Scan,title,1,0,,./JOB-queries/3b.sql,0.43,0.49,0.226,0.226,,,,,,
Nested Loop,,69,405,2.0,./JOB-queries/3b.sql,7.21,16454.67,32.897,3863.507,,title,438.0,1.0,12951.0,0.0
Index Scan,movie_info,1,0,,./JOB-queries/3b.sql,0.43,1.39,3.223,3.238,,,,,,
Nested Loop,,1,5,3.0,./JOB-queries/3b.sql,7.65,16551.77,177.737,5175.109,,movie_info,69.0,1.0,405.0,0.0
Aggregate,,1,1,,./JOB-queries/3b.sql,16551.77,16551.78,5175.164,5175.165,,,1.0,,5.0,
Seq Scan,movie_info_idx,575015,460012,,./JOB-queries/13c.sql,0.0,13685.15,0.054,185.532,,,,,,
Seq Scan,info_type,1,1,,./JOB-queries/13c.sql,0.0,2.41,0.015,0.015,,,,,,
Hash,,1,1,,./JOB-queries/13c.sql,2.41,2.41,0.02,0.02,info_type,,1.0,,1.0,
Hash Join,,5089,153308,1.0,./JOB-queries/13c.sql,2.43,15253.6,0.089,218.072,movie_info_idx,,575015.0,1.0,460012.0,1.0
Index Scan,title,1,0,,./JOB-queries/13c.sql,0.43,0.59,0.011,0.011,,,,,,
Nested Loop,,1,22,2.0,./JOB-queries/13c.sql,2.86,18232.82,323.537,1851.517,,title,5089.0,1.0,153308.0,0.0
Index Scan,kind_type,1,0,,./JOB-queries/13c.sql,0.13,0.18,0.094,0.094,,,,,,
Memoize,,1,0,,./JOB-queries/13c.sql,0.14,0.19,0.016,0.016,kind_type,,1.0,,0.0,
Nested Loop,,1,10,3.0,./JOB-queries/13c.sql,3.0,18233.02,1578.79,1851.886,,,1.0,1.0,22.0,0.0
Index Scan,movie_companies,5,3,,./JOB-queries/13c.sql,0.43,0.59,0.146,0.176,,,,,,
Nested Loop,,1,32,4.0,./JOB-queries/13c.sql,3.43,18233.66,1580.091,1853.594,,movie_companies,1.0,5.0,10.0,3.0
Index Scan,company_type,1,0,,./JOB-queries/13c.sql,0.13,0.15,0.056,0.056,,,,,,
Memoize,,1,0,,./JOB-queries/13c.sql,0.14,0.16,0.003,0.003,company_type,,1.0,,0.0,
Nested Loop,,1,11,5.0,./JOB-queries/13c.sql,3.57,18233.83,1580.464,1853.68,,,1.0,1.0,32.0,0.0
Index Scan,company_name,1,0,,./JOB-queries/13c.sql,0.42,0.45,0.357,0.357,,,,,,
Nested Loop,,1,5,6.0,./JOB-queries/13c.sql,3.99,18234.28,1581.2,1857.488,,company_name,1.0,1.0,11.0,0.0
Index Scan,movie_info,40,16,,./JOB-queries/13c.sql,0.43,1.41,0.158,0.891,,,,,,
Nested Loop,,2,73,7.0,./JOB-queries/13c.sql,4.42,18236.19,1581.832,1861.655,,movie_info,1.0,40.0,5.0,16.0
Index Scan,info_type,1,0,,./JOB-queries/13c.sql,0.14,0.16,0.004,0.004,,,,,,
Nested Loop,,1,18,8.0,./JOB-queries/13c.sql,4.57,18236.54,1582.562,1861.968,,info_type,2.0,1.0,73.0,0.0
Gather,,1,53,,./JOB-queries/13c.sql,1004.57,19236.64,1324.321,1869.107,,,1.0,,18.0,
Aggregate,,1,1,,./JOB-queries/13c.sql,19236.65,19236.66,1867.793,1869.166,,,1.0,,53.0,
Seq Scan,movie_info_idx,575015,460012,,./JOB-queries/13a.sql,0.0,13685.15,0.144,161.357,,,,,,
Seq Scan,info_type,1,1,,./JOB-queries/13a.sql,0.0,2.41,0.006,0.006,,,,,,
Hash,,1,1,,./JOB-queries/13a.sql,2.41,2.41,0.008,0.008,info_type,,1.0,,1.0,
Hash Join,,5089,153308,1.0,./JOB-queries/13a.sql,2.43,15253.6,0.156,194.017,movie_info_idx,,575015.0,1.0,460012.0,1.0
Index Scan,title,1,1,,./JOB-queries/13a.sql,0.43,0.58,0.007,0.007,,,,,,
Nested Loop,,5089,153303,2.0,./JOB-queries/13a.sql,2.86,18194.65,0.484,1246.709,,title,5089.0,1.0,153308.0,1.0
Seq Scan,kind_type,1,1,,./JOB-queries/13a.sql,0.0,1.09,0.014,0.014,,,,,,
Hash,,1,1,,./JOB-queries/13a.sql,1.09,1.09,0.015,0.016,kind_type,,1.0,,1.0,
Hash Join,,727,69958,3.0,./JOB-queries/13a.sql,3.96,18217.2,778.59,1257.438,,,5089.0,1.0,153303.0,1.0
Index Scan,movie_companies,5,4,,./JOB-queries/13a.sql,0.43,0.56,0.006,0.009,,,,,,
Nested Loop,,3579,257687,4.0,./JOB-queries/13a.sql,4.39,18657.29,780.499,1925.579,,movie_companies,727.0,5.0,69958.0,4.0
Seq Scan,company_type,1,1,,./JOB-queries/13a.sql,0.0,1.05,0.014,0.014,,,,,,
Hash,,1,1,,./JOB-queries/13a.sql,1.05,1.05,0.015,0.015,company_type,,1.0,,1.0,
Hash Join,,895,100870,5.0,./JOB-queries/13a.sql,5.45,18677.71,780.87,1941.514,,,3579.0,1.0,257687.0,1.0
Index Scan,company_name,1,0,,./JOB-queries/13a.sql,0.42,0.45,0.003,0.003,,,,,,
Nested Loop,,37,5490,6.0,./JOB-queries/13a.sql,5.87,19076.83,795.097,2218.684,,company_name,895.0,1.0,100870.0,0.0
Index Scan,movie_info,40,31,,./JOB-queries/13a.sql,0.43,1.42,0.071,0.479,,,,,,
Nested Loop,,1212,172109,7.0,./JOB-queries/13a.sql,6.3,19144.2,796.281,4857.962,,movie_info,37.0,40.0,5490.0,31.0
Seq Scan,info_type,1,1,,./JOB-queries/13a.sql,0.0,2.41,0.02,0.024,,,,,,
Hash,,1,1,,./JOB-queries/13a.sql,2.41,2.41,0.028,0.028,info_type,,1.0,,1.0,
Hash Join,,11,37034,8.0,./JOB-queries/13a.sql,8.73,19149.93,796.835,4867.003,,,1212.0,1.0,172109.0,1.0
Aggregate,,1,1,,./JOB-queries/13a.sql,19150.01,19150.02,4911.021,4911.023,,,11.0,,37034.0,
Gather,,2,3,,./JOB-queries/13a.sql,20150.01,20150.22,4913.191,4915.196,,,1.0,,1.0,
Aggregate,,1,1,,./JOB-queries/13a.sql,20150.24,20150.25,4914.399,4915.204,,,2.0,,3.0,
Seq Scan,keyword,1,1,,./JOB-queries/2d.sql,0.0,2626.12,0.286,7.367,,,,,,
Bitmap Index Scan,,303,41840,,./JOB-queries/2d.sql,0.0,6.71,3.26,3.262,,,,,,
Bitmap Heap Scan,movie_keyword,303,41840,,./JOB-queries/2d.sql,6.78,1117.89,4.312,1171.082,,,303.0,,41840.0,
Nested Loop,,34,41840,1.0,./JOB-queries/2d.sql,6.78,3747.04,4.6,1180.725,keyword,movie_keyword,1.0,303.0,1.0,41840.0
Index Scan,title,1,1,,./JOB-queries/2d.sql,0.43,0.49,0.066,0.066,,,,,,
Nested Loop,,34,41839,2.0,./JOB-queries/2d.sql,7.21,3763.61,4.727,3966.41,,title,34.0,1.0,41840.0,1.0
Index Scan,movie_companies,5,4,,./JOB-queries/2d.sql,0.43,0.54,0.028,0.042,,,,,,
Nested Loop,,167,148550,3.0,./JOB-queries/2d.sql,7.64,3784.05,5.325,5749.944,,movie_companies,34.0,5.0,41839.0,4.0
Index Scan,company_name,1,0,,./JOB-queries/2d.sql,0.42,0.45,0.002,0.002,,,,,,
Nested Loop,,59,68315,4.0,./JOB-queries/2d.sql,8.06,3858.52,5.498,6107.12,,company_name,167.0,1.0,148550.0,0.0
Aggregate,,1,1,,./JOB-queries/2d.sql,3858.67,3858.68,6139.648,6139.65,,,59.0,,68315.0,
Index Scan,movie_info_idx,1380035,63901,,./JOB-queries/33c.sql,0.43,39730.0,0.153,13.039,,,,,,
Seq Scan,movie_link,29997,29997,,./JOB-queries/33c.sql,0.0,462.97,0.111,8.608,,,,,,
Seq Scan,link_type,3,2,,./JOB-queries/33c.sql,0.0,1.25,0.002,0.004,,,,,,
Hash,,3,2,,./JOB-queries/33c.sql,1.25,1.25,0.005,0.005,link_type,,3.0,,2.0,
Hash Join,,5000,2315,1.0,./JOB-queries/33c.sql,1.29,561.53,0.124,9.826,movie_link,,29997.0,3.0,29997.0,2.0
Sort,,5000,6443,,./JOB-queries/33c.sql,868.72,881.22,9.988,10.15,,,5000.0,,2315.0,
Merge Join,,15117,6192,2.0,./JOB-queries/33c.sql,869.16,3041.38,10.15,25.387,movie_info_idx,,1380035.0,5000.0,63901.0,6443.0
